s,M,total_time,t,nubs_x,nubs_y,nubs_z,minco_x,minco_y,minco_z,err_d0,err_d1,err_d2,err_d3,err_d4
4,8,8.6099999999999994,4.4689999999999994,2.0959307664073403,1.4463836530209486,1.645621191109506,2.0959307664073461,1.4463836530209497,1.6456211911095087,6.4545887984429101e-15,5.0505996601809636e-15,1.5105766442355703e-14,9.8050301981299735e-14,2.030562401588432e-13
4,8,8.6099999999999994,4.4894999999999996,2.1013768568431193,1.4504168570425553,1.6579376740468406,2.1013768568431237,1.4504168570425562,1.6579376740468419,4.7207330545682824e-15,4.7034850999218976e-15,1.2593692917181465e-14,1.0152471311373122e-13,1.7924102890035315e-13
4,8,8.6099999999999994,4.5099999999999998,2.1069570600744543,1.4547593043772677,1.6703748865766179,2.1069570600744587,1.4547593043772682,1.6703748865766197,4.8035592509840658e-15,4.6791817639168341e-15,1.1610857617729859e-14,1.0521340465708228e-13,1.5470438978492687e-13
4,8,8.6099999999999994,4.5305,2.1126725038674889,1.4594143268184991,1.6829340591603827,2.1126725038674938,1.4594143268185,1.6829340591603847,5.3521501866855338e-15,4.7788782450010007e-15,9.5543706164270168e-15,1.0718275980628916e-13,1.3391775020248243e-13
4,8,8.6099999999999994,4.5509999999999993,2.1185238215719706,1.4643844719849333,1.6956160618002218,2.1185238215719759,1.4643844719849339,1.6956160618002234,5.5909402938488437e-15,4.8862427625507602e-15,7.7030598605095231e-15,1.0907828062064394e-13,1.10121588553335e-13
4,8,8.6099999999999994,4.5715000000000003,2.1245111580793323,1.4696714961473076,1.7084213996684725,2.1245111580793372,1.4696714961473083,1.7084213996684745,5.3198106145617434e-15,4.620782372656675e-15,6.2776706582959074e-15,1.1114424728079844e-13,9.1704153014509632e-14
4,8,8.6099999999999994,4.5919999999999996,2.130634176750577,1.4752763585951547,1.721350209495107,2.1306341767505823,1.4752763585951549,1.721350209495109,5.6957795539516896e-15,4.6883102786934489e-15,4.7961763161669884e-15,1.1313463000380266e-13,7.4081747533536082e-14
4,8,8.6099999999999994,4.6124999999999998,2.1368920672815745,1.4811992175596718,1.7344022567137924,2.1368920672815803,1.4811992175596722,1.734402256713794,5.9952043329758453e-15,4.704058321176682e-15,4.3398218986672322e-15,1.1434920308228022e-13,6.2403620557011955e-14
4,8,8.6099999999999994,4.633,2.143283554473419,1.4874394277088998,1.747576933367595,2.1432835544734243,1.4874394277089003,1.747576933367597,5.7087490877549568e-15,4.6777821300430423e-15,5.2516013561222652e-15,1.1274426875427384e-13,5.6789616971501065e-14
4,8,8.6099999999999994,4.6534999999999993,2.149806907875468,1.4939955392313795,1.760873256775336,2.1498069078754751,1.4939955392313806,1.7608732567753387,7.6693833680121693e-15,4.5237331063051247e-15,7.2857196456646087e-15,1.1485902431741824e-13,6.1338993205395997e-14
4,8,8.6099999999999994,4.6739999999999995,2.1564599522687082,1.5008652985244759,1.7742898689595747,2.1564599522687145,1.5008652985244759,1.7742898689595765,6.4660364967044242e-15,4.3716573543844236e-15,8.5906084755975145e-15,1.1188076635587014e-13,7.37950136795634e-14
4,8,8.6099999999999994,4.6944999999999997,2.1632400789570609,1.5080456505035194,1.7878250368371966,2.1632400789570663,1.5080456505035196,1.7878250368371991,5.8663495455237441e-15,4.2675043707213352e-15,1.1100703584627503e-14,1.1176637852117925e-13,9.2191037486575571e-14
4,8,8.6099999999999994,4.7149999999999999,2.1701442578342869,1.5155327425479799,1.8014766531736268,2.1701442578342927,1.5155327425479801,1.801476653173629,6.1894311297400655e-15,4.1707312617460162e-15,1.3016151710388764e-14,1.1170781659571284e-13,1.1074306327268747e-13
4,8,8.6099999999999994,4.7355,2.1771690501940979,1.5233219301008092,1.8152422383016131,2.1771690501941037,1.523321930100809,1.8152422383016156,6.2725144597599747e-15,3.9859944391854008e-15,1.5120243089790736e-14,1.0747338790434242e-13,1.2655373770951844e-13
4,8,8.6099999999999994,4.7560000000000002,2.1843106222511213,1.5314077839371532,1.8291189426056007,2.1843106222511266,1.5314077839371529,1.8291189426056023,5.55555424028711e-15,4.0412728104402654e-15,1.7545827132124917e-14,1.0488765555509957e-13,1.4984178016961903e-13
4,8,8.6099999999999994,4.7764999999999995,2.191564759340344,1.5397840991186034,1.843103549772662,2.1915647593403489,1.5397840991186034,1.8431035497726636,5.126297777653475e-15,3.9369892294021423e-15,1.9554211766543852e-14,1.0309405708284505e-13,1.7023408447783208e-13
4,8,8.6099999999999994,4.7969999999999997,2.1989268807626772,1.548443905649159,1.8571924808109901,2.1989268807626821,1.5484439056491588,1.8571924808109914,5.0682623478130248e-15,4.026376522367723e-15,2.0833328401076661e-14,9.8728232803610814e-14,1.8795010146207286e-13
4,8,8.6099999999999994,4.8174999999999999,2.2063920552442591,1.5573794808490804,1.8713817988369195,2.2063920552442648,1.5573794808490797,1.8713817988369208,5.9622180890606343e-15,4.0644626571019145e-15,2.2608138812046709e-14,9.5799188471640044e-14,2.0685704473200159e-13
4,8,8.6099999999999994,4.8379999999999992,2.2139550169771454,1.5665823634628109,1.8856672146314808,2.2139550169771511,1.5665823634628102,1.8856672146314819,5.9165617269815079e-15,4.3231035356944364e-15,2.4586427190968586e-14,8.9840163644508524e-14,2.2087679901139715e-13
4,8,8.6099999999999994,4.8585000000000003,2.2216101822090089,1.5760433695171376,1.9000440929674691,2.2216101822090142,1.5760433695171374,1.9000440929674709,5.6217203786222585e-15,4.0187159817102779e-15,2.6267056165488078e-14,8.795608344987261e-14,2.3994269872913441e-13
4,8,8.6099999999999994,4.8789999999999996,2.2293516663494763,1.5857526099457722,1.9145074597080056,2.229351666349483,1.5857526099457717,1.9145074597080076,6.9688054555761948e-15,4.5694815991607466e-15,2.8267115440514556e-14,8.3966410300496263e-14,2.5256312272555313e-13
4,8,8.6099999999999994,4.8994999999999997,2.2371733015607611,1.595699509996527,1.9290520096776003,2.2371733015607678,1.5956995099965263,1.9290520096776025,7.053193662129238e-15,5.3388915681938225e-15,2.9858975588649036e-14,7.7716008230972549e-14,2.6752836687395587e-13
4,8,8.6099999999999994,4.919999999999999,2.2450686548001797,1.6058728304372551,1.9436721153066745,2.2450686548001859,1.6058728304372547,1.9436721153066765,6.5456098199339845e-15,5.1732700013825905e-15,3.1189475196772774e-14,7.2919935077057157e-14,2.8180775966025277e-13
4,8,8.6099999999999994,4.9404999999999992,2.2530310462822358,1.6162606905767463,1.9583618360505595,2.2530310462822416,1.616260690576746,1.9583618360505617,6.1894311297400655e-15,5.5923180175073815e-15,3.2386796515617951e-14,6.5516047062371666e-14,2.9542648754044458e-13
